ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Character,Entry_IDS,Middle_Chinese_Forms,Old_Chinese_Forms,Glosses
word-ad-1,OldChinese,, *r.ŋˤaʔ,,,,魯,1 20,luX // luX, *r.ŋˤaʔ // *[r]ˤaʔ //  *r.ŋˤaʔ // *[r]ˤaʔ,
word-ad-2,OldChinese,,*[ts]raŋ,,,,莊公,2 110 179 254 459 521 593 680 716 757 893 945 982 1018 1054 1097 1233 1355 1414 1477 1519 1567 1617,tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng // tsrjang // kuwng,*[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ // *[ts]raŋ // *C.qˤoŋ,
word-ad-3,OldChinese,,*[ts]aŋ,,,,將,3 666 966 1124 1190 1261 1280 1292 1301 1317 1373,tsjang // tsjang // tsjang // tsjang // tsjang // tsjang // tsjang // tsjang // tsjang // tsjang // tsjang,*[ts]aŋ // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ  // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ // *[ts]aŋ,
word-ad-4,OldChinese,, *ɢʷ(r)aj,,,,為,4 410 461 517 523 589 596 616 652 663 719 760 784 1156 1283 1319,hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH // hjwe // // // hjweH, *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s //  *ɢʷ(r)aj // *ɢʷ(r)aj-s,
word-ad-5,OldChinese,,*lˤa[t]-s,,,,大,5 45 356 532 553 1112 1555 1557 1677,dajH // dajH // dajH // dajH // dajH // dajH // dajH // dajH // dajH,*lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s // *lˤa[t]-s,
word-ad-6,OldChinese,,*toŋ,,,,鍾,6 43 265,tsyowng // tsyowng // tsyowng,*toŋ // *toŋ // *toŋ,
word-ad-7,OldChinese,,*gˤeŋ,,,,型,7 266,heng // heng,*gˤeŋ // *gˤeŋ,
word-ad-8,OldChinese,,*[k]ə[t]-s,,,,既,8 116 947 1058 1086 1093 1246 1294 1315,kj+jH // kj+jH // kj+jH // kj+jH // kj+jH // kj+jH // kj+jH // kj+jH // kj+jH,*[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s // *[k]ə[t]-s,
word-ad-9,OldChinese,,*m-[d]eŋ,,,,成,9 948 1002,dzyeng // dzyeng // dzyeng,*m-[d]eŋ // *m-[d]eŋ // *m-[d]eŋ,
word-ad-10,OldChinese,,*qəʔ,,,,矣,10 950 1663 1702,hiX // hiX // hiX // hiX,*qəʔ // *qəʔ // *qəʔ // *qəʔ,
word-ad-11,OldChinese,,*N-tsˤu,,,,曹沫,11 126 198 300 316 466 528 1636,dzaw // mat // dzaw // mat // dzaw // mat // dzaw // mat // dzaw // mat // dzaw // mat // dzaw // mat // dzaw // mat,*N-tsˤu // *mˤat // *N-tsˤu // *mˤat // *N-tsˤu // *mˤat // *N-tsˤu // *mˤat // *N-tsˤu // *mˤat // *N-tsˤu // *mˤat // *N-tsˤu // *mˤat // *N-tsˤu // *mˤat,
word-ad-12,OldChinese,,*n[u]p,,,,入,12,nyip,*n[u]p,
word-ad-13,OldChinese,, *N-[k]ˤen-s,,,,見,13 624 1166 1221 1444,henH // // // kenH // // // henH // henH // // // kenH // // // henH // henH // // // kenH // // // henH // henH // // // kenH // // // henH // henH // // // kenH // // // henH, *N-[k]ˤen-s // *[k]ˤen-s // *m-[k]ˤen-s //  *N-[k]ˤen-s // *[k]ˤen-s // *m-[k]ˤen-s //  *N-[k]ˤen-s // *[k]ˤen-s // *m-[k]ˤen-s //  *N-[k]ˤen-s // *[k]ˤen-s // *m-[k]ˤen-s //  *N-[k]ˤen-s // *[k]ˤen-s // *m-[k]ˤen-s,
word-ad-14,OldChinese,,*[ɢ]ʷat,,,,曰,14 85 111 127 135 180 185 199 214 255 301 318 460 468 506 522 529 602 681 689 723 764 788 894 901 946 957 985 994 1021 1027 1057 1064 1100 1108 1168 1236 1244 1255 1290 1300 1358 1366 1417 1425 1480 1485 1489 1491 1493 1522 1529 1570 1594 1618 1638,hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // mjut // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot // hjwot,*[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat // *[ɢ]ʷat,
word-ad-15,OldChinese,,*[s]Ak,,,,昔,15 51 79 181 1642,sjek // sjek // sjek // sjek // sjek,*[s]Ak // *[s]Ak // *[s]Ak // *[s]Ak // *[s]Ak,
word-ad-16,OldChinese,,*tiw,,,,周,16 80,tsyuw // tsyuw,*tiw // *tiw,
word-ad-17,OldChinese,,*s.ti[t],,,,室,17 81,syit // syit,*s.ti[t] // *s.ti[t],
word-ad-18,OldChinese,,*tə,,,,之,18 49 53 114 134 138 158 178 188 190 205 213 221 321 338 350 352 415 417 448 505 511 555 584 621 733 738 744 756 781 816 820 903 912 941 961 975 979 998 1015 1031 1036 1045 1095 1147 1151 1167 1173 1196 1200 1210 1231 1276 1320 1333 1353 1395 1399 1407 1412 1430 1434 1475 1515 1535 1540 1546 1560 1575 1591 1611 1634 1641 1643 1685 1691,tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi // tsyi,*tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə // *tə,
word-ad-19,OldChinese,,*p(r)oŋ,,,,封,19 39,pjowng // pjowng,*p(r)oŋ // *p(r)oŋ,
word-ad-20,OldChinese,,*lAjʔ,,,,也,21 50 56 207 294 412 705 837 844 944 981 1017,yaeX // (dzyoX) // yaeX // (dzyoX) // yaeX // (dzyoX) // yaeX // (dzyoX) // yaeX // (dzyoX) // yaeX // (dzyoX) // yaeX // (dzyoX) // yaeX // (dzyoX) // yaeX // (dzyoX) // yaeX // (dzyoX) // yaeX // (dzyoX) // yaeX // (dzyoX),*lAjʔ // *lAjʔ // *lAjʔ // *lAjʔ // *lAjʔ // *lAjʔ // *lAjʔ // *lAjʔ // *lAjʔ // *lAjʔ // *lAjʔ // *lAjʔ,
word-ad-21,OldChinese,,*tˤoŋ,,,,東,22,tuwng,*tˤoŋ,
word-ad-22,OldChinese,,*s-nˤər,,,,西,23,sej,*s-nˤər,
word-ad-23,OldChinese,,*[tsʰ]i[t],,,,七,24,tshit,*[tsʰ]i[t],
word-ad-24,OldChinese,,*pˤrak,,,,百,25 29 795 799,paek // paek // paek // paek,*pˤrak // *pˤrak // *pˤrak // *pˤrak,
word-ad-25,OldChinese,,*nˤ[ə]m,,,,南,26,nom,*nˤ[ə]m,
word-ad-26,OldChinese,,*pˤək,,,,北,27,pok,*pˤək,
word-ad-27,OldChinese,,*C.ŋˤaʔ,,,,五,28 628 638,nguX // nguX // nguX,*C.ŋˤaʔ // *C.ŋˤaʔ // *C.ŋˤaʔ,
word-ad-28,OldChinese,,*pajʔ,,,,彼,30 32,pjeX // pjeX,*pajʔ // *pajʔ,
word-ad-29,OldChinese,,*s-ŋrar,,,,山,31,srean,*s-ŋrar,
word-ad-30,OldChinese,,*lˤrak,,,,澤,33,draek,*lˤrak,
word-ad-31,OldChinese,,*ma,,,,無,34 200 225 247 540 547 566 569 749 1277 1517,mju // (mu) // mju // (mu) // mju // (mu) // mju // (mu) // mju // (mu) // mju // (mu) // mju // (mu) // mju // (mu) // mju // (mu) // mju // (mu) // mju // (mu),*ma // *mo // *ma // *ma // *mo // *ma // *ma // *mo // *ma // *ma // *mo // *ma // *ma // *mo // *ma // *ma // *mo // *ma // *ma // *mo // *ma // *ma // *mo // *ma // *ma // *mo // *ma // *ma // *mo // *ma // *ma // *mo // *ma,
word-ad-32,OldChinese,,*[ɢ]ʷəʔ,,,,有,35 67 82 104 243 251 292 322 329 403 483 488 504 537 543 551 560 631 644 808 811 822 826 829 886 953 958 990 995 1023 1028 1060 1065 1089 1104 1109 1163 1227 1240 1245 1362 1367 1406 1421 1426 1487 1511 1518 1572 1590 1595 1676,hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX // hjuwX,*[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ // *[ɢ]ʷəʔ,
word-ad-33,OldChinese,,*pə,,,,不,36 70 90 142 144 151 164 166 173 236 271 274 277 281 285 363 418 422 426 430 434 438 452 585 700 703 706 709 711 714 747 751 840 842 845 848 850 853 855 859 877 883 905 914 970 1032 1037 1041 1070 1076 1175 1183 1499 1623 1661 1666,pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX) // pjuw // (bijX),*pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə // *pə,
word-ad-34,OldChinese,,*mi[ŋ],,,,民,37 150 172 471 475 510 564 679 754 779 814 1136 1325 1401 1486 1607,mjin // mjin // mjin // mjin // mjin // mjin // mjin // mjin // mjin // mjin // mjin // mjin // mjin // mjin // mjin // mjin,*mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ] // *mi[ŋ],
word-ad-35,OldChinese,,*[k]r[ə]m,,,,今,38 112 193 1656,kim // kim // kim // kim,*[k]r[ə]m // *[k]r[ə]m // *[k]r[ə]m // *[k]r[ə]m,
word-ad-36,OldChinese,,*m-nə[r],,,,彌,40,mjie,*m-nə[r],
word-ad-37,OldChinese,,*[s]ewʔ,,,,小,41 353 1626,sjewX // sjewX // sjewX,*[s]ewʔ // *[s]ewʔ // *[s]ewʔ,
word-ad-38,OldChinese,,*nə,,,,而,42 65 74 87 92 147 169 219 228 267 290 297 325 332 372 479 485 572 577 657 1088 1116 1121 1165 1428 1432 1443 1672 1686 1706,nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi // nyi,*nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə // *nə,
word-ad-39,OldChinese,,*loʔ,,,,愈,44,yuX,*loʔ,
word-ad-40,OldChinese,,*C.qur,,,,君,46 128 139 159 208 450 534 724 740 830 936 1125 1159 1609 1692,kjun // kjun // kjun // kjun // kjun // kjun // kjun // tsiX // kjun // kjun // kjun // kjun // kjun // kjun // kjun // kjun,*C.qur // *C.qur // *C.qur // *C.qur // *C.qur // *C.qur // *C.qur //  *[ts]əʔ // *tsəʔ // *C.qur // *C.qur // *C.qur // *C.qur // *C.qur // *C.qur // *C.qur // *C.qur,
word-ad-41,OldChinese,,*gə,,,,其,47 129 388 456 582 965 1029 1034 1039 1066 1072 1123 1291 1340 1347 1390 1441 1445 1454 1457 1509 1530 1536 1541 1650 1654 1693,gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi // gi,*gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə // *gə,
word-ad-42,OldChinese,,*[d]ˤa,,,,圖,48,du,*[d]ˤa,
word-ad-43,OldChinese,,*[ŋ]ˤew,,,,堯,52,ngew,*[ŋ]ˤew,
word-ad-44,OldChinese,,*qʰaŋʔ,,,,饗,54,xjangX,*qʰaŋʔ,
word-ad-45,OldChinese,,*[s.t]u[n]-s,,,,舜,55,sywinH,*[s.t]u[n]-s,
word-ad-46,OldChinese,,*bo[n]ʔ,,,,飯,57,bjonX,*bo[n]ʔ,
word-ad-47,OldChinese,,*[ʔ]ˤa,,,,於,58 62 72 76 149 171 195 203 299 420 428 436 463 503 519 525 579 591 598 678 767 772 1134 1153 1185 1252 1554 1598 1645,u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u // u,*[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa // *[ʔ]ˤa,
word-ad-48,OldChinese,,*tʰˤaʔ,,,,土,59 63,thuX // (duX) // thuX // (duX),*tʰˤaʔ // *tʰˤaʔ,
word-ad-49,OldChinese,,*p(r)uʔ,,,,塯,60,pjuwX // (bijX),*p(r)uʔ,
word-ad-50,OldChinese,,*s.tʰrə,,,,欼,61,tsrhiX,*s.tʰrə,
word-ad-51,OldChinese,,*gˤeŋ,,,,鉶,64,heng,*gˤeŋ,
word-ad-52,OldChinese,,*[pʰ](r)aʔ,,,,撫,66,phjuX,*[pʰ](r)aʔ,
